,acholi_text,english_translation
,Wer pa Lawino,Song of Lawino
,"Wod wegi, kadi pud ipora Ki yugi ma tye wi odur, Ilanya, ipako ya bong imita, Ya arom ki gigu ma wi obur, Iyeta, ibuku dogi ki buru, Ya bong’ang’eyo wa ki “a”, Ya bong’ akwano i cukuru, Ni an pc amako nying’a, Ipora ki la-gwok, kurukuru...","The son of the owner, You compare me With rubbish in the rubbish pit, You humiliate me, saying you don’t love me That I am like a thing abandoned in a deserted homestead You abuse me, dusting your mouth with ashes, That I don’t know the letter a That I have not been to school That I have not got a name, You compare me with a dog, a puppy."
,acel aryo adek angwen abic abicel abiro aboro abungwen apar,one two three four five six seven eight nine ten
,I aa ki kwene?,where do you come from?
,Ibedo kwene?,where do you stay?
,"Cik man obedo gin acoya ma kacoke me ot moko cik ma dit me Uganda oketo piny I buk. Ot-moko cik aye obedo gang moko ki keto cik ma dit loyo. Nying moko-cik romo bedo pol, ento tic ma kati aye acel, ma obedo moko nyo keto cik.","This refers to written law made by a law making body. In Uganda, Parliament is the central law making authority. Legislation may be called various names; it may be called Statutes, Acts of Parliament, Promulgations or Decrees"
,Tol Wat,relationship
,"Kit ma wiya poo kwede, ngat acel ma ladiro kwan kwano buk, wan joo mukene wa terro it-wa.Man nongo i mwaka pyere-abiro ki wiye. Man aye kit ma joo ma gingeyo kwan wa joo ma pe gingeyo kwan ducu i ganga-wa gingeyo ngo ma tye in Wer pa Lawino. Ka oo kama wer Acoli ma wangeyo tye iye, dano donyo i wer kacel ki lakwan....","As I remember, one person gifted in reading would read the book, and the rest of us would tune our ears. This was in the 1970s. In this way both those who could read and those who couldn’t read in our homestead would know the content of Wer pa Lawino. When it reached where there was a known Acholi song, people would sing along with the reader...."
,Morembe Maria ipong ki grasia Rwot tye kudi,Hail Mary full of grace the Lord is with you
,Komigum i kin mon,Blessed are you among women
,ki Yesu wot ma ii Komegum,and blessed is the fruit of your womb Jesus
,Maria Maleng min Rubanga,Holy Mary mother of God
,leg pi wan lobalo koni wa ki wang to mewa.Amen,pray for us sinners now and at the hour of our death.Amen
,"Lumyelo ma bong’ luworo wego, Anyira kwakke ki wegi-gi, Awobe gwakke ting’-ting’ ki lumego, Gimyelo ataa kadi ki megi-gi.","They dance without giving fathers respect, Girls embrace their fathers, Boys embrace tightly with their sisters, They dance anyhow even with their mothers"
,Mamana Mamani Dadana,My mother Your mother My grand mother
,apwoyo ceng nyodoni!,happy birthday!
,"Dul man bene mito cwalo pwoc madit bot lwak duc ma lok man gudu kom gi, ma gu kwanyo kaare me cwalo dwon gi i lok ma kwako buk man, kar-cel ki lwak ma obedo i kacoke pa jo ma lok man gudu kom gi, ma kacoke man aye obedo yo me keto buk man icoc. Tam gi obedo gi okonyo mada.",The Commission would like to acknowledge all the stakeholders who sent in written comments and those who participated in the stakeholders’ workshop that discussed the draft of this Handbook. Their constructive criticism was an invaluable contribution.
,"Cik me Uganda obedo cik ma tiyo calo me lobo Biritic, ma ki kelo ilobo man,\ ikare ma loc me Uganda nongo pwod tye icing munu-otaara.",Uganda’s legal system is based on the English legal system that was imported into Uganda by the British colonialists.
,apwoyo kato mwaka,happy new year!
,apwoyo uhuru,happy independence!
,"Ma pwod pe ya Uganda odonyo ite loc pa munu-otarara, rok acel-acel nongo tye ki kit me loc ma megi, I kit me te kwaaro."," Prior to the establishment of British colonial rule in Uganda, each ethnic group in Uganda followed its own body of customary law. The customary law was unwritten. "
,i ywe maber,happy holidays!
,Omego,brother
,Cik obedo gin aluba ma doro wi lwak ma tice dwong mada.,Law is a set of rules governing a society.
,apwoyo Paska,happy Easter!
,apwoyo Iddi,happy Idd!
,"Cik duc mukene myero obed ma rwate ki Cik ma tye I buk me pen-cik, cik ma tye I pen-cik aye ki tiyo kwede.","All other laws must conform to the Constitution. In the event that any law is inconsistent with the Constitution, the Constitution takes precedence. This means that where there is conflict between the Constitution and any other law, the provisions of the Constitution have to be followed."
,apwoyo Karama,happy Christmas
,Lamera,My sister
,omera omeru lameru,My Brother Your brother Your sister
,An awac ang’o?,What can I say?
,Lamego,sister
,ribo ot coron,sharing latrines
,Nero,uncle
,Babana Babani Nera,My father Your father My uncle
,Apwoyo bino, your welcome
,Kwaro,grand father
,Dayo,grand mother
,Ng’wec ot coron gami ki teng’e Idonyo iwacci idonyo i dan ng’uu Yoki calo amuka ocobi ki tung’e Ng’wec lac ki cet duny li-tuu...,The toilet stench fetches you from the outskirt You enter as if you have entered the throat of a beast It knocks you as if a rhino has pierced you with its horn The stench of urine and faeces evaporates li-tuu...
,Min anyaka lal yo rego; Calo pe onywal,The girl’s mother gets wasted grinding; As if she has not given birth
,"Latin obedo lilau, lutimo ning’?","The child is hopeless, what can be done?"
,Laber too yo kulu,The good-natured dies on the way to the well
,Nyanni kara kite pe!,This girl has no manners!
,"Latin obedo lilau, lutimo ning’?","The child is hopeless, what can be done?"
,Anyong’o wi yat calo winyo,I squat on a tree like a bird
,An calo ayom munyong’o wi yat,I am like a monkey squatting on a tree
,An do wi lobo ogung’u koma,"Poor me, the world has knelt on me"
,Biceny tye ka woo calo ong’era!,Vincent makes noise like a monkey
,Kero calo latin akwara ma mulu!,He bubbles like a crawling toddler
,"Cotte ki dang’nge wan wa-oo i kore,Calo ocwak i lajanawara. Lapwony dang’nge ataa pe nyang’ tere; Lacoo-ne kono Acoli...",He leaps into a shout and we chorus after him Like weaver birds in lajanawara grass The teacher shouts without understanding the meaning; The man is an Acholi...
,Ento dumu aduma calo Pare....,But he speaks an alien language like a priest
,"Dang’nge ka en-en-en, wan ki kore Pe ng’atti nyang te lokke kikome","He yells with vigour, and we follow suit No one understands the actual meaning of the words"
,"Inongo two jonyo ki ijami ma pige pige magi: remo, lac nyodo, pig ter mon ki cak kor.","You get HIV from four fluids: blood, semen, vaginal fluid and breast milk"
,Two jonyo kobo ki leyo jami ma lebgi bit,HIV is transmitted by sharing sharp instruments.
, two jonyo kobo iyoo me rwatte ikin dako ki lacoo,HIV is transmitted through having sex
,Pe itwero nongo two jonyo ki ikom:,You cannot get HIV from:
,mako cing,holding hands
,kwakke,hugging
,leyo tawulu onyo bongi,sharing towels or clothes
,cam onyo mat,eating or drinking
,ribo laket,sharing combs
,itwero juku nongo two jonyo iyo magi,You can prevent HIV by
,diro kare me butu,Abstaining from sex
,winye ikin wu,Being faithful to your partner
,tic ki roc bol ikare ducu iyo maber,Consistent Condom use
,latin tye ka dongo,the baby is growing
,itye ka dot,you breastfeed
,Ka iyac cit ka pime cut,If you are pregnant go for testing immediately
,"Ka itye ki kwidi two jonyo, nongo two mukene yot tutwal","If you have HIV, it is easier to get other diseases."
,icam wit cam ma pat pat (nyig yat ki pot dek),Eat different foods (fruits and vegetables)
,cit ikor bao,go to the blackboard
,amito ladyere,I need a volunteer
,coo nyingi ki nino dwe,write yourname and date
